                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4992,                 3.3955,                 1.9931,                0.03139,                0.23529,                0.02739,                0.01276,                 1.9819,                  2.984,                 1.6906,                 0.0991,                 0.0001,                 0.0001
                      1,                 2.4413,                 3.2068,                 2.1385,                0.22197,                0.11765,                0.08748,                  0.047,                  2.017,                 2.7482,                 1.7303,               0.097294,             0.00029406,             0.00029406
                      2,                 2.5455,                  2.926,                  2.185,                0.58551,                0.29412,                0.29809,                 0.0975,                  2.071,                 2.3441,                 1.8723,                0.09548,              0.0004802,              0.0004802
                      3,                 2.5391,                 2.2701,                 2.1685,                0.48593,                0.52941,                0.46363,                0.18607,                 2.0657,                 1.9661,                 1.8992,               0.093658,             0.00065842,             0.00065842
                      4,                 2.4218,                 1.8449,                 2.1492,                0.68283,                0.63388,                0.66502,                0.31076,                 1.9199,                 1.6486,                 1.7341,               0.091829,             0.00082872,             0.00082872
                      5,                 2.2753,                 1.6839,                 1.8895,                0.63069,                 0.6034,                0.69557,                 0.3437,                 1.8878,                 1.3854,                 1.6813,               0.089991,              0.0009911,              0.0009911
                      6,                 2.0861,                 1.6788,                 1.8208,                0.59118,                0.82353,                0.70652,                0.37203,                 1.8274,                 1.3055,                 1.6757,               0.088146,              0.0011456,              0.0011456
                      7,                 1.9828,                 1.4268,                 1.7694,                0.61524,                0.75293,                0.69157,                0.33748,                 1.6828,                 1.3609,                 1.6601,               0.086292,              0.0012921,              0.0012921
                      8,                 1.9844,                 1.4243,                 1.7558,                0.55163,                0.64706,                0.67141,                0.35718,                 1.6438,                 1.3742,                   1.64,               0.084431,              0.0014307,              0.0014307
                      9,                 2.0353,                 1.3643,                 1.7332,                0.52196,                0.64706,                0.64647,                0.36384,                 1.6266,                 1.3847,                 1.6347,               0.082561,              0.0015614,              0.0015614
                     10,                 1.8995,                 1.4085,                  1.673,                0.57619,                0.76471,                0.70829,                0.38857,                 1.5872,                 1.2517,                 1.4956,               0.080684,              0.0016842,              0.0016842
                     11,                 1.9445,                 1.3101,                 1.7005,                0.64767,                0.70588,                0.70246,                0.39758,                 1.5112,                 1.1544,                 1.4358,               0.078799,              0.0017991,              0.0017991
                     12,                 1.8577,                  1.141,                 1.6428,                0.58527,                0.82353,                0.68025,                0.37003,                 1.5376,                 1.1735,                 1.4049,               0.076906,               0.001906,               0.001906
                     13,                 1.8263,                 1.2491,                 1.5874,                0.75303,                0.76471,                0.79571,                0.45522,                 1.5267,                 1.0981,                 1.3584,               0.075005,               0.002005,               0.002005
                     14,                 1.7849,                 1.0888,                 1.5413,                0.64442,                0.88235,                0.71804,                 0.3877,                 1.5539,                 1.2815,                 1.3976,               0.073096,              0.0020961,              0.0020961
                     15,                 1.6408,                 1.2146,                 1.5203,                0.75992,                0.93136,                0.75745,                0.40628,                 1.5623,                 1.1046,                 1.3938,               0.071179,              0.0021793,              0.0021793
                     16,                 1.6751,                 1.0673,                  1.514,                0.55969,                0.94118,                0.61479,                0.31314,                 1.5862,                 1.2937,                 1.4392,               0.069255,              0.0022546,              0.0022546
                     17,                 1.7847,                 1.1323,                  1.552,                0.76085,                0.93597,                0.78136,                0.39806,                 1.5802,                 1.1422,                 1.4159,               0.067322,              0.0023219,              0.0023219
                     18,                 1.7547,                 1.3273,                 1.5082,                0.73598,                0.88235,                0.72968,                0.40913,                 1.6546,                  1.223,                 1.4106,               0.065381,              0.0023813,              0.0023813
                     19,                 1.7249,                 1.2769,                 1.5324,                0.72129,                0.91407,                0.77718,                0.42016,                 1.6038,                 1.0094,                 1.4031,               0.063433,              0.0024328,              0.0024328
